id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
15869855,Shades of Blue in historic Lisbon (with balcony),5588401,Ana & Mariana,Lisboa,Santa Maria Maior,38.71642,-9.13419,Entire home/apt,65,3,159,2020-02-20,4.02,22,103
15870427,Garden Loft - Campo grande,102882462,Jay,Lisboa,Lumiar,38.76455,-9.16096,Entire home/apt,83,1,67,2019-10-08,1.70,3,180
15872348,Lisbon private room two beds near airport,74792458,António,Lisboa,Olivais,38.77718,-9.11939,Private room,25,1,216,2020-02-23,5.55,13,143
15872699,Pateo da Paz,71962548,GT House,Lisboa,Ajuda,38.70225,-9.20001,Entire home/apt,39,3,7,2019-05-02,0.20,38,345
15872824,Lisbon private room two beds near airport,74792458,António,Lisboa,Olivais,38.77694,-9.11956,Private room,24,1,267,2020-02-24,7.01,13,162
15872953,Lisbon private room two beds near airport,74792458,António,Lisboa,Olivais,38.77736,-9.11944,Private room,20,1,133,2020-02-19,3.38,13,172
15876871,(A) Boavista Bica Elevator,91343666,Navi,Lisboa,Misericrdia,38.70808,-9.14837,Entire home/apt,50,3,98,2020-02-10,2.53,6,335
15878041,(B) Boavista Bica Elevator,91343666,Navi,Lisboa,Misericrdia,38.70782,-9.14976,Entire home/apt,50,3,81,2020-01-08,2.10,6,336
15878491,Bairro Alto cosy design bright central apartement,43837861,Suzana,Lisboa,Misericrdia,38.71304,-9.14527,Entire home/apt,62,2,140,2020-01-12,3.54,1,10
15879113,Montejunto Eden - Casa de Férias,102961539,Isabel,Cadaval,Vilar,39.19598,-9.08287,Entire home/apt,205,2,2,2019-08-16,0.11,1,364
15879185,Rosas,24724484,Margarida,Mafra,Santo Isidoro,38.99723,-9.40382,Private room,50,30,2,2019-08-26,0.06,12,299
15880887,Little Cute House,39033528,Ana,Lisboa,Penha de Frana,38.73073,-9.12978,Entire home/apt,26,2,102,2020-02-10,2.58,1,134
15881584,Wanderlust Liberdade I & II - Up to 10 People,5650205,Carolina,Lisboa,Santo Antnio,38.7203,-9.14369,Entire home/apt,244,4,3,2020-01-02,0.10,6,221
15883078,Traditional and light in Central Graça by LC,34827624,Lisbonne,Lisboa,So Vicente,38.71815,-9.12792,Entire home/apt,80,1,43,2019-12-08,1.23,44,301
15893198,Room in Mafra in the center and near Ericeira,14575421,Fátima,Mafra,Mafra,38.92911,-9.33517,Private room,70,1,0,,,1,365
15895397,Top floor apartment in downtown Lisbon/AC/LIFT/New,45429583,Habitat,Lisboa,Misericrdia,38.70705,-9.14574,Entire home/apt,131,1,1,2020-02-15,1,70,345
15895561,ROOFTOP modern apartment with LIFT/AC in Lisbon,45429583,Habitat,Lisboa,Misericrdia,38.70658,-9.14665,Entire home/apt,131,1,1,2019-04-16,0.09,70,272
15895738,NEW! By the river apt downtown Lisbon with AC/LIFT,45429583,Habitat,Lisboa,Misericrdia,38.70765,-9.14689,Entire home/apt,80,1,0,,,70,340
15896007,NEW!! Modern downtown apt in historical area/AC,45429583,Habitat,Lisboa,Misericrdia,38.70765,-9.14689,Entire home/apt,80,1,1,2016-11-18,0.03,70,351
15896014,NEW! TOP floor apartment Downtown Lisbon with LIFT,45429583,Habitat,Lisboa,Misericrdia,38.70742,-9.14745,Entire home/apt,144,1,0,,,70,305
15896260,"NEW!! Modern, sunny central apt with river view/AC",45429583,Habitat,Lisboa,Misericrdia,38.70818,-9.14617,Entire home/apt,80,1,0,,,70,352
15896275,NEW! TOP FLOOR  in modern apt downtown Lisbon/LIFT,45429583,Habitat,Lisboa,Misericrdia,38.7074,-9.14719,Entire home/apt,60,1,1,2020-02-10,1,70,334
15896404,Wondrous Terrace Apartment in Cascais Center,4972896,Rita Morais,Cascais,Cascais e Estoril,38.70011,-9.42267,Hotel room,80,4,6,2019-08-24,0.18,35,324
15896707,NEW!! Riverview downtown apt in historical area/AC,45429583,Habitat,Lisboa,Misericrdia,38.70822,-9.14775,Entire home/apt,60,1,2,2020-01-31,0.07,70,310
15897297,NEW!! Modern downtown apt by the riverside LIFT/AC,45429583,Habitat,Lisboa,Misericrdia,38.70734,-9.14806,Entire home/apt,80,1,0,,,70,342
15897760,Camper Van - VW Westfalia - Skully,67897539,Gil,Lisboa,Parque das Naes,38.7825,-9.09911,Entire home/apt,65,3,22,2019-09-09,0.57,2,298
