id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
38859649,NEW! Chiado Terrace w/stunning views 3BR_3WC_AC!,297548056,Teresa,Lisboa,Misericrdia,38.71182,-9.14382,Entire home/apt,120,3,3,2019-11-13,2.05,1,232
38861667,Estoril Casino Leisures & Beaches-Bright spacious,297559788,Roger,Cascais,Cascais e Estoril,38.70894,-9.40001,Entire home/apt,43,3,4,2019-11-15,2.67,1,89
38862796,"Quassia Apartment, Braço de Prata, Lisbon",1969293,Tiago,Lisboa,Marvila,38.74977,-9.10239,Entire home/apt,105,2,0,,,55,340
38866767,"Room with pool, close to train station",80980745,Philip,Sintra,Algueiro-Mem Martins,38.79728,-9.34728,Private room,35,1,4,2019-10-31,2.22,1,76
38869502,Butterfly Apartment,125502945,Alexandra,Lisboa,Arroios,38.73555,-9.13586,Entire home/apt,110,1,4,2019-10-28,2.22,1,231
38870294,Find peace in Cascais center,4972896,Rita Morais,Cascais,Cascais e Estoril,38.69923,-9.4254,Hotel room,79,1,0,,,38,351
38872965,Room 2,98229262,Welcome,Lisboa,Santa Maria Maior,38.71493,-9.13872,Private room,60,1,0,,,1,78
38874978,"Belém 25, duplex apartment",59366556,Inês,Lisboa,Belm,38.69749,-9.19476,Entire home/apt,89,2,3,2019-10-23,1.73,2,218
38878377,Three Oceans View ... feel the ocean vibrations...,297738993,Chantal,Lourinh,Lourinh e Atalaia,39.26989,-9.33172,Entire home/apt,95,3,0,,,1,363
38889108,Beautiful apt near the beach & Wifi,137500257,"Loic, Estelle & Co",Torres Vedras,A dos Cunhados e Maceira,39.13998,-9.37318,Entire home/apt,59,1,0,,,59,365
38892815,Amoreiras Premium Studio | Prime Location | Wi-Fi,297862898,Ana,Lisboa,Campo de Ourique,38.72208,-9.15815,Entire home/apt,90,2,7,2019-11-24,3.44,1,331
38892871,Quarto privado em ótimo bairro de Lisboa,297862643,Pamela,Lisboa,Carnide,38.75867,-9.1925,Private room,35,1,1,2019-11-17,1,1,115
38895153,Ribeira 11 Design Apartment | AC | Rooftop | Lift,297881153,Idriss & Dorra,Lisboa,Misericrdia,38.70825,-9.14888,Entire home/apt,90,2,1,2019-10-22,0.79,1,295
38896216,Cascais Infante Residence,296092887,Gizela,Cascais,Cascais e Estoril,38.6998,-9.43448,Entire home/apt,55,2,3,2019-11-25,2.57,1,324
38896732,Perfect-Room near-AIRPOT-EXPO-8,153024326,Ruan&Chen,Loures,Moscavide e Portela,38.77825,-9.10358,Private room,34,1,0,,,3,365
38897137,Perfet Room near-AIRPOT-EXPO-6,153024326,Ruan&Chen,Loures,Moscavide e Portela,38.78025,-9.10423,Private room,40,1,0,,,3,365
38897617,Amazing one bedroom apartment in city center!,43996655,Paul & Helen,Lisboa,Alcntara,38.70448,-9.17681,Entire home/apt,1035,5,0,,,1,38
38898310,Chic & Trendy T.M. Flat,8046399,Tomás,Lisboa,Misericrdia,38.71368,-9.1521,Entire home/apt,79,2,0,,,19,0
38899692,"Entre praia e serra, casa com 3 quartos e jardim",254529587,Maria,Cascais,Cascais e Estoril,38.73256,-9.449,Entire home/apt,39,30,0,,,1,307
