id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
29771686,The Vila Expo House,223993086,Pedro,Lisboa,Parque das Naes,38.78297,-9.09695,Entire home/apt,80,3,6,2019-02-23,1.33,1,343
29773744,Senhora do Monte,224008450,Selene,Lisboa,So Vicente,38.71925,-9.13053,Entire home/apt,77,1,0,,,1,132
29775322,Lisbon Canaan Boutique Apartments: Gaivotas Ap 5,179745761,Sinoreis,Lisboa,Misericrdia,38.70859,-9.1516,Entire home/apt,120,1,0,,,27,310
29775576,Full Apartment in the historic center of Lisbon,211106035,Alexandre Passos,Lisboa,Arroios,38.72336,-9.13484,Entire home/apt,39,1,0,,,4,94
29775671,Quarto individual com Banheiro Privativo.,152866491,Wilson,Lisboa,So Domingos de Benfica,38.75178,-9.17999,Private room,33,1,2,2019-02-18,0.45,4,1
29776695,Perfect Location for a Love-affair with Lisbon!,13694684,Simon,Lisboa,So Vicente,38.72213,-9.12468,Entire home/apt,61,2,2,2019-03-17,1.13,1,298
29776724,Sue's Place,224030492,Peter,Cascais,Carcavelos e Parede,38.68564,-9.34843,Entire home/apt,40,1,1,2019-02-28,1,1,179
29779508,★ Mouraria Nature Patio - City Centre ★,224051413,Luisa & Tiago,Lisboa,So Vicente,38.7157,-9.13161,Entire home/apt,70,2,8,2019-02-28,1.95,1,319
29780252,Parkside Guest House,224057592,Parkside,Lisboa,Avenidas Novas,38.72868,-9.1579,Private room,50,1,1,2018-12-09,0.29,6,296
29789869,Parkside Guest House - Jardim da Estrela room,224057592,Parkside,Lisboa,Avenidas Novas,38.72849,-9.15817,Private room,52,1,1,2018-11-09,0.22,6,309
29794321,ART AND LUXURY IN CHIADO,142542317,Cema,Lisboa,Misericrdia,38.70757,-9.14244,Entire home/apt,190,2,0,,,1,205
29794573,Casa Petrucci,224148176,Rita,Mafra,Carvoeira,38.94606,-9.40308,Entire home/apt,100,3,0,,,1,258
29794684,Visit Belém Tower from a Romantic Duplex in Lisbon,71348093,Paulo,Lisboa,Belm,38.69811,-9.19338,Entire home/apt,50,2,9,2019-03-17,2.06,10,262
29795171,NEW - Alfama Dream Apartment 5,223973389,David E Sofia,Lisboa,So Vicente,38.71407,-9.12986,Entire home/apt,85,2,3,2019-02-03,1.11,6,296
29796104,Excellent 3 Bedroom Apartment in Bairro Alto,23780167,Ricardo,Lisboa,Misericrdia,38.71146,-9.14499,Entire home/apt,82,2,9,2019-03-03,2.27,14,285
29797454,Lisbon by the river - Palaces room,191905829,Miguel,Lisboa,Estrela,38.70687,-9.16215,Private room,40,2,0,,,4,364
